Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
VOWEL,GBC,f1,2.0,3.0,4.0,1.0
VOWEL,GBC,geometric_mean_score,4.0,2.0,3.0,1.0
HEART (3),LR,roc_auc,4.0,3.0,2.0,1.0
HEART (3),LR,f1,3.0,4.0,2.0,1.0
HEART (3),LR,geometric_mean_score,4.0,3.0,2.0,1.0
HEART (3),KNN,roc_auc,4.0,3.0,2.0,1.0
HEART (3),KNN,f1,4.0,2.0,3.0,1.0
HEART (3),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
HEART (3),DT,roc_auc,3.0,4.0,2.0,1.0
HEART (3),DT,f1,3.0,4.0,2.0,1.0
HEART (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
HEART (3),GBC,roc_auc,3.0,4.0,2.0,1.0
HEART (3),GBC,f1,4.0,3.0,2.0,1.0
HEART (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
